EducationOrganizationId	StateOrganizationId	NameOfInstitution	ShortNameOfInstitution	OperationalStatusTypeId	CreateDate	LastModifiedDate	Id	PeopleSoft	School
1103	350581	Community Academy of Science and Health	Community Academy of Science and Health	1	2019-01-17 18:50:47	2019-03-01 11:40:25	93DAC9E9-8232-416A-8F8E-310477A11C69	101656	1103
1102	350582	The Engineering School	Engineering School	7	2019-01-17 18:50:47	2019-03-01 11:40:25	DCC7BB3F-7240-4899-91B2-D1C44DDABD0B	101653	1102
1101	350583	Social Justice Academy	Social Justice Academy	7	2019-01-17 18:50:47	2019-03-01 11:40:25	AD5CEA86-B4A8-45CD-956D-9F2BAE656D7A	101655	1101
1100	350550	Hyde Park High School	Hyde Park High	7	2019-01-17 18:50:47	2019-03-01 11:40:25	BE26C35B-9ED3-4268-8D31-026AED510D99	101651	1100
1080	350535	The English High School	English High School	1	2019-01-17 18:50:47	2019-03-01 11:40:25	25F919BF-FFF4-486B-81DA-4976BDAFF4DA	101644	1080
1070	350530	East Boston High School	East Boston High School	1	2019-01-17 18:50:47	2019-03-01 11:40:24	0F832178-0988-472A-9C7D-C1A89CD69B71	101641	1070
1064	350651	Dorchester Academy	Dorchester Academy	7	2019-01-17 18:50:47	2019-03-01 11:40:24	0CF35605-63E5-485A-BA8A-9CCE6313749A	101637	1064
1062	N/A	Academy of Public Service	Acad of Public Service	7	2019-01-17 18:50:47	2019-03-01 11:40:24	FC8891DF-15A4-4B0F-8659-90087DC56DDC	101634	1062
1061	N/A	Edward G. Noonan Business Academy	Noonan Business Acad	7	2019-01-17 18:50:46	2019-03-01 11:40:24	E61E2E86-8460-4155-9C9D-68A5D2FB8EBA	101635	1061
1060	350520	Dorchester High School	Dorchester High	7	2019-01-17 18:50:46	2019-03-01 11:40:24	EB5B0E79-6A03-45FA-B883-177B125C0DA6	101636	1060
1050	350515	Charlestown High School	Charlestown High School	1	2019-01-17 18:50:46	2019-03-01 11:40:24	0C95C792-3E6F-461C-ADB2-ECBBCA0B2C40	101630	1050
1040	350505	Brighton High School	Brighton High School	1	2019-01-17 18:50:46	2019-03-01 11:40:24	B0C882D2-3A08-4182-B5C0-9D029D99EBB3	101624	1040
1030	350575	John D. O'Bryant School of Mathematics and Science	O'Bryant School of Math & Science	1	2019-01-17 18:50:46	2019-03-01 11:40:24	36DECC5A-1FDB-4E2A-B87E-929D7C0499A2	101618	1030
1020	350545	Boston Latin Academy	Boston Latin Academy	1	2019-01-17 18:50:46	2019-03-01 11:40:23	1F69CE8F-7405-49B5-92D4-07B782596FA5	101615	1020
1010	350560	Boston Latin School	Boston Latin School	1	2019-01-17 18:50:46	2019-03-01 11:40:23	91CE8E1D-178B-4984-86E8-03F622D37CDA	101612	1010
